sales_representative,employee_id,region,sales,date
Omar Kamal,100789,Alexandria,321.1,2026-01-01
Nour Youssef,100321,Giza,736.43,2026-01-03
Omar Kamal,100789,Aswan,189.71,2026-01-03
Nour Youssef,100321,Alexandria,331.19,2026-01-04
Nour Youssef,100321,Alexandria,408.13,2026-01-04
Ahmed Ali,100123,Cairo,343.52,2026-01-04
Omar Kamal,100789,Giza,632.76,2026-01-04
Mona Said,100654,Mansoura,405.22,2026-01-05
Ahmed Ali,100123,Alexandria,801.48,2026-01-05
Ahmed Ali,100123,Aswan,366.0,2026-01-05
Ahmed Ali,100123,Aswan,351.5,2026-01-06
Sara Hassan,100456,Alexandria,383.73,2026-01-06
Sara Hassan,100456,Mansoura,859.26,2026-01-06
Nour Youssef,100321,Cairo,639.05,2026-01-07
Nour Youssef,100321,Giza,812.95,2026-01-07
Mona Said,100654,Giza,1110.78,2026-01-09
Omar Kamal,100789,Mansoura,393.13,2026-01-09
Nour Youssef,100321,Cairo,326.35,2026-01-09
Omar Kamal,100789,Mansoura,299.25,2026-01-09
Mona Said,100654,Giza,164.36,2026-01-10
Mona Said,100654,Alexandria,459.95,2026-01-10
Mona Said,100654,Giza,308.93,2026-01-10
Nour Youssef,100321,Mansoura,1088.16,2026-01-10
Sara Hassan,100456,Giza,503.35,2026-01-10
Nour Youssef,100321,Giza,1119.61,2026-01-11
Nour Youssef,100321,Alexandria,935.77,2026-01-11
Sara Hassan,100456,Alexandria,1040.47,2026-01-11
Nour Youssef,100321,Alexandria,489.71,2026-01-12
Omar Kamal,100789,Alexandria,1039.96,2026-01-12
Sara Hassan,100456,Mansoura,979.27,2026-01-12
Sara Hassan,100456,Cairo,431.42,2026-01-12
Nour Youssef,100321,Giza,465.55,2026-01-13
Sara Hassan,100456,Aswan,481.54,2026-01-13
Mona Said,100654,Cairo,586.12,2026-01-13
Mona Said,100654,Alexandria,1113.65,2026-01-14
Ahmed Ali,100123,Aswan,871.48,2026-01-14
Sara Hassan,100456,Aswan,645.42,2026-01-14
Sara Hassan,100456,Alexandria,567.19,2026-01-14
Sara Hassan,100456,Alexandria,406.99,2026-01-15
Ahmed Ali,100123,Mansoura,420.54,2026-01-15
Sara Hassan,100456,Giza,262.75,2026-01-15
Mona Said,100654,Giza,325.62,2026-01-16
Omar Kamal,100789,Giza,241.12,2026-01-16
Omar Kamal,100789,Aswan,975.25,2026-01-16
Sara Hassan,100456,Alexandria,534.94,2026-01-16
Ahmed Ali,100123,Mansoura,151.77,2026-01-16
Ahmed Ali,100123,Mansoura,506.5,2026-01-17
Ahmed Ali,100123,Giza,1074.89,2026-01-17
Mona Said,100654,Cairo,841.61,2026-01-17
Sara Hassan,100456,Cairo,1113.97,2026-01-18
Mona Said,100654,Cairo,720.03,2026-01-18
Omar Kamal,100789,Mansoura,789.78,2026-01-18
Omar Kamal,100789,Aswan,1092.51,2026-01-19
Nour Youssef,100321,Mansoura,689.02,2026-01-20
Sara Hassan,100456,Giza,434.24,2026-01-21
Mona Said,100654,Mansoura,764.43,2026-01-21
Sara Hassan,100456,Mansoura,1018.27,2026-01-21
Ahmed Ali,100123,Mansoura,446.8,2026-01-21
Omar Kamal,100789,Giza,711.38,2026-01-22
Omar Kamal,100789,Mansoura,917.95,2026-01-22
